fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
200,train,388.2789001464844,108,24.63733418097431,21.472089961406937,0.022566877511440472,0.10246894722642187,0.9158878504672897
201,train,714.9918823242188,108,19.39473379462937,19.201071555169825,0.020641264494448024,0.11314580588465048,0.9813084112149533
202,train,682.5740966796875,108,16.27964785087644,23.233233704856854,0.02656790105747389,0.12608671737913799,0.9626168224299065
203,test,394.99591064453125,108,17.824522830440365,6.017639279224149,0.02795975724658984,0.1262543364454363,0.9532710280373832
204,train,15.733499526977539,108,12.918555114652905,5.602486345182929,0.025973928535624566,0.14392171389144107,1.0
205,train,40.83420181274414,108,13.878982109600464,7.937967056654914,0.022068746888578395,0.13729155936304865,0.9813084112149533
206,test,362.86151123046875,108,18.197811343909205,6.663135253282667,0.024261015384014123,0.15804760502623608,0.9906542056074766
207,train,532.3018798828125,108,30.03895151226826,13.492932080696855,0.029887579794084507,0.14722081924703853,0.9345794392523364
208,val,1139.1236572265625,108,22.63714526098679,10.443544943972256,0.023322544221423946,0.13817200038404015,0.9906542056074766
209,train,669.3734741210938,108,24.119801925875905,41.735455547735384,0.021708277080317775,0.12480360117511546,0.9532710280373832
210,train,1734.905517578125,108,18.712088711704357,7.669862363357397,0.025182067451989875,0.14915869989078856,0.9065420560747663
211,train,1641.552490234375,108,12.320625468973494,5.144993626598298,0.021432976611814973,0.09235699461848956,0.9252336448598131
212,test,203.22279357910156,108,13.046923864195298,2.0060564845363276,0.021493167361553083,0.12611890404794554,0.9532710280373832
213,val,1617.657958984375,108,20.705351314459737,9.728783141512476,0.02804530334196641,0.12165665538660528,0.9532710280373832
214,train,1038.1370849609375,108,14.879529471573472,12.383077468642892,0.027860671455311035,0.1294082573732569,0.9719626168224299
215,test,1240.6944580078125,108,15.661246024513014,6.836963130256265,0.029045656011707898,0.11386480955719605,0.897196261682243
216,train,57.10129928588867,108,14.70228057391008,5.028826951849018,0.024701989712782844,0.14007126661215996,0.9626168224299065
217,train,290.7087097167969,108,20.62948762988308,13.357015764113575,0.026794526093750257,0.1573938919648055,0.9813084112149533
218,train,1199.6375732421875,108,25.719779736887716,16.628006548450674,0.024883847432548335,0.11761739027392107,0.9626168224299065
219,val,1425.9503173828125,108,16.97057006821912,8.025001624672338,0.024188547931898043,0.13495392015158195,0.9719626168224299
220,train,31.73390007019043,108,14.901081875423413,8.206846267972674,0.02571739218295136,0.1556051081338549,0.9626168224299065
221,train,36.900699615478516,108,14.052850698311302,3.5116747879013754,0.02669117940443389,0.13245732496578985,0.9252336448598131
222,train,657.1209106445312,108,20.973217948274527,12.673041471413203,0.028504677594796086,0.11885930400447761,0.8691588785046729
223,train,1227.88916015625,108,14.10730798515914,7.771237728707254,0.018760018439820742,0.0991790644878372,0.9532710280373832
224,train,607.4711303710938,108,15.697842682871581,5.444873800258607,0.022255186941846142,0.10826769883336927,0.9345794392523364
225,train,170.98890686035156,108,12.974711565963979,2.599395671914555,0.02480687900103747,0.1182594234868558,0.9532710280373832
226,test,139.88780212402344,108,15.099586960413408,14.758310061714818,0.02114914589000579,0.1088956554392651,0.9719626168224299
227,test,10.083499908447266,108,8.359550159769658,5.28541133478111,0.019110762783490692,0.1123021354851804,0.9719626168224299
228,test,337.4772033691406,108,9.745027457885385,5.852674870332436,0.016964760161366384,0.09396193141349928,0.9626168224299065
229,train,1687.68701171875,108,17.607573286974453,7.118323935544181,0.019425142289166752,0.0953472780104288,0.9532710280373832
230,val,11.750100135803223,108,14.218575784497355,2.4147806520531723,0.029057525041634027,0.15907131148845116,0.9813084112149533
231,train,1301.4288330078125,108,13.943892254973004,9.409632471795916,0.020529947024362984,0.1069227041932529,0.9345794392523364
232,train,1567.9383544921875,108,11.044537086196286,3.2724763118497835,0.018611532209008484,0.11456312960799905,0.9813084112149533
233,train,1699.50390625,108,11.670238944322834,3.0976261084173915,0.02728273203398648,0.12727979397342273,0.9626168224299065
234,train,651.8037719726562,108,9.959606496905096,11.605568162393173,0.018052488178376982,0.11497933111582184,0.9719626168224299
235,train,110.10330200195312,108,11.745703959843256,3.227122567875726,0.023138648573046764,0.14453547081813123,0.9626168224299065
236,test,3.450000047683716,108,14.2958569116887,3.4324412886060807,0.030574657362778115,0.16250543734140815,1.0
237,train,584.5037231445312,108,13.278043422600819,9.936608334485893,0.019551644254230387,0.10500068665659494,0.9906542056074766
238,val,1597.0511474609375,108,13.169744811113185,5.6765966657735465,0.022776527904794626,0.12070593879349677,0.9345794392523364
